id,bene,libro,provincia,comune,compilazione,href,categoria
1,Festa di San Calogero,REI - Libro delle celebrazioni,Agrigento,Agrigento,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/1,Festa patronale
2,Settimana Santa e Vare,REI - Libro delle celebrazioni,Caltanissetta,San Cataldo,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/4,Festa pasquale
3,Settimana Santa e Vare,REI - Libro delle celebrazioni,Caltanissetta,Caltanissetta,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/204,Festa pasquale
4,Carnevale,REI - Libro delle celebrazioni,Catania,Acireale,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/8,Festa
5,Festa di Santa Lucia,REI - Libro delle celebrazioni,Siracusa,Siracusa,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/80,Festa patronale
6,Festa dei Pani (San Biagio e San Giuseppe),REI - Libro delle celebrazioni,Trapani,Salemi,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/84,Festa/Cerimonia
7,Saperi della Civiltà Mineraria,REI - Libro dei saperi,Agrigento,,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/121,Saperi
8,Saperi della Civiltà Mineraria,REI - Libro dei saperi,Caltanissetta,,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/123,Saperi
9,Presepe Vivente,REI - Libro delle espressioni,Caltanissetta,Sutera,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/88,Rappresentazione/Spettacolo
10,Detentori dei Saperi della Civiltà Mineraria,REI - Libro dei tesori umani viventi,Caltanissetta,,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/159,Saperi
11,Saperi della Civiltà Mineraria,REI - Libro dei saperi,Enna,,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/127,Saperi
12,Detentori dei Saperi della Civiltà Mineraria,REI - Libro dei tesori umani viventi,Enna,,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/164,Saperi
13,Gallo Italico (Parlata Alloglotta),REI - Libro delle espressioni,Enna,Nicosia,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/94,Pratica espressiva
14,Gallo Italico (Parlata Alloglotta),REI - Libro delle espressioni,Enna,Aidone,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/93,Pratica espressiva
15,Gallo Italico (Parlata Alloglotta),REI - Libro delle espressioni,Enna,Sperlinga,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/96,Pratica espressiva
16,Gallo Italico (Parlata Alloglotta),REI - Libro delle espressioni,Enna,Piazza Armerina,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/95,Pratica espressiva
17,Gallo Italico (Parlata Alloglotta),REI - Libro delle espressioni,Messina,San Fratello,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/99,Pratica espressiva
18,Patrimonio orale tradizionale,REI - Libro delle espressioni,Messina,Eolie,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/205,Pratica espressiva
19,Musiche e Canti Liturgici (Comunità Grecoalbanese),REI - Libro delle espressioni,Palermo,Piana degli Albanesi,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/107,Musica vocale-strumentale
20,Paesaggio di Pietra - Muretti a Secco,REI - Libro delle espressioni,Ragusa,,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/108,Espressione
22,Ceramica e Presepe Artistico (Tradizione Figulina),REI - Libro dei saperi,Catania,Caltagirone,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/125,Tecnica artigiana
23,Ciclo del Grano e del Pane (Vastedda - Pagnotta),REI - Libro dei saperi,Enna,,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/126,Saperi
24,Ciclo Caseario (Maiorchino),REI - Libro delle celebrazioni,Messina,,Si,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/132,Saperi
25,Ciclo Caseario (Provola),REI - Libro dei saperi,Messina,,No,https://reis.cricd.it/index.php/index.php/reisicilia/details/2/131,Saperi
